CARRIER,FLTNO,DEPAPT,DEPTERM,DEPCITY,DEPCTRY,ARRAPT,ARRTERM,ARRCITY,ARRCTRY,DEPTIM,ARRTIM,ARRDAY,SERVICE,TOTAL_SEATS,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_CLASS_SEATS,ELPTIM,STOPS,INTAPT,ACFTCHANGE,GENACFT,INPACFT,TONS,PX,FRTCLASS,ROUTING,DISTANCE,RESTRICT,SAD,SAD_NAME,OPERATING,COMM10_50,ACFT_OWNER,LONGEST,GHOST,GOVT_APP,SEATS_TOTAL,TIMESERIES,CARRIER_CD_ICAO,FLTSUFFX,DEP_PORT_CD_ICAO,ARR_PORT_CD_ICAO,SCHEDULED_DEPARTURE_TIME_UTC,SCHEDULED_DEPARTURE_DATE_TIME_LOCAL,SCHEDULED_DEPARTURE_DATE_TIME_UTC,SCHEDULED_ARRIVAL_TIME_UTC,SCHEDULED_ARRIVAL_DATE_TIME_LOCAL,SCHEDULED_ARRIVAL_DATE_TIME_UTC,FLIGHT_DATE,SCHEDULED_DEPARTURE_DATE_UTC,SCHEDULED_ARRIVAL_DATE_LOCAL,SCHEDULED_ARRIVAL_DATE_UTC,EQUIPMENT_CD_ICAO,MEALS,DOMINT,INFLTSERVICE,SECUREFLT,PREMIUM_ECONOMY_CLASS_SEATS,ECONOMY_PLUS_CLASS_SEATS,OAG_SCHEDULE_FINGERPRINT,FILE_DATE,LOAD_DATE
AS,4347,SNA,,SNA,US,DFW,0,DFW,US,0809,1309,,J,160,0,16,144,00300,0,,,737,738,0,FPYSBMHQLV,,SNADFW,1202,,AA,American Airlines,N,050,AA,L,,,160,2018-06-11 00:00:00.000,,,KSNA,KDFW,1509,2018-06-11 08:09:00.000,2018-06-11 15:09:00.000,1809,2018-06-11 13:09:00.000,2018-06-11 18:09:00.000,2018-06-11,2018-06-11,2018-06-11,2018-06-11,B738,,,,,,,,2018-06-04,2024-11-05
PB, 902,YWK,,YWK,CA,YYR,,YYR,CA,1145,1320,,J,37,0,0,37,00135,1,ZUM,,DH8,DH1,4,YBVHLTKDRO,,YWKZUMYYRYDFYYT,274,,,,O,,,,,,37,2018-04-17 00:00:00.000,,,,,1445,2018-04-17 11:45:00.000,2018-04-17 14:45:00.000,1620,2018-04-17 13:20:00.000,2018-04-17 16:20:00.000,2018-04-17,2018-04-17,2018-04-17,2018-04-17,DH8A,,,,,,,,2018-04-16,2024-11-05
VS,3804,NAS,A,NAS,BS,ATL,I,ATL,US,1632,1855,,J,180,0,20,160,00223,0,,,737,739,17,JCDIZWSHKY,,NASATL,726,Q  ,DL,Delta Air Lines,N,050,DL,L,,,180,2018-04-22 00:00:00.000,,,MYNN,KATL,2032,2018-04-22 16:32:00.000,2018-04-22 20:32:00.000,2255,2018-04-22 18:55:00.000,2018-04-22 22:55:00.000,2018-04-22,2018-04-22,2018-04-22,2018-04-22,B739,,,,,,,,2018-04-16,2024-11-05
UA,9531,FRA,1,FRA,DE,GOT,,GOT,SE,0810,0945,,J,150,0,0,150,00135,0,,,32S,32A,0,JCDZPYBMUH,,FRAGOT,548,G  ,LH,Lufthansa German Airlines,N,050,LH,L,,,150,2018-06-30 00:00:00.000,,,EDDF,ESGG,0610,2018-06-30 08:10:00.000,2018-06-30 06:10:00.000,0745,2018-06-30 09:45:00.000,2018-06-30 07:45:00.000,2018-06-30,2018-06-30,2018-06-30,2018-06-30,A320,,,,,,,,2018-06-25,2024-11-05
AF,3636,BRU,,BRU,BE,ATL,I,ATL,US,1105,1455,,J,226,0,26,200,00950,0,,,767,76W,13,JCDIZYBMUK,LP,BRUATL,4413,,DL,Delta Air Lines,N,050,DL,L,,,226,2018-06-08 00:00:00.000,,,EBBR,KATL,0905,2018-06-08 11:05:00.000,2018-06-08 09:05:00.000,1855,2018-06-08 14:55:00.000,2018-06-08 18:55:00.000,2018-06-08,2018-06-08,2018-06-08,2018-06-08,B763,,,,,,,,2018-06-04,2024-11-05
AA,5820,DFW,0,DFW,US,DFW,0,DFW,US,1235,1739,,J,76,0,9,67,00504,1,SDF,,CRJ,CR9,2,JRDIYBHKML,,DFWSDFDFW,1462,A  ,YV,Mesa Airlines,O,010,YV,L,,,76,2018-04-19 00:00:00.000,,,KDFW,KDFW,1735,2018-04-19 12:35:00.000,2018-04-19 17:35:00.000,2239,2018-04-19 17:39:00.000,2018-04-19 22:39:00.000,2018-04-19,2018-04-19,2018-04-19,2018-04-19,CRJ9,,,,,,,,2018-04-16,2024-11-05
PR, 383,CAN,0,CAN,CN,MNL,2,MNL,PH,0610,0810,,J,156,0,12,144,00200,0,,,32S,320,9,JCDIZYSLMH,,CANMNL,794,,,,O,,,L,,,156,2018-06-03 00:00:00.000,,,ZGGG,RPLL,2210,2018-06-03 06:10:00.000,2018-06-02 22:10:00.000,0010,2018-06-03 08:10:00.000,2018-06-03 00:10:00.000,2018-06-03,2018-06-03,2018-06-03,2018-06-03,A320,,,,,,,,2018-05-28,2024-11-05
G3,8010,GRU,2,SAO,BR,MCO,,ORL,US,2155,0600,1,J,226,0,26,200,00905,0,,,767,76W,13,CDYTJWELAV,LP,GRUMCO,4264,,DL,Delta Air Lines,N,050,DL,L,,,226,2018-06-19 00:00:00.000,,,SBGR,KMCO,0055,2018-06-19 21:55:00.000,2018-06-20 00:55:00.000,1000,2018-06-19 06:00:00.000,2018-06-19 10:00:00.000,2018-06-19,2018-06-19,2018-06-20,2018-06-19,B763,,,,,,,,2018-06-18,2024-11-05
NH,7820,IAD,,WAS,US,BOG,1,BOG,CO,1613,2045,,J,120,0,12,108,00532,0,,,32S,319,3,JCDZPYBMUH,,IADBOG,2373,D  ,AV,Avianca,N,050,AV,L,,,120,2018-04-14 00:00:00.000,,,KIAD,SKBO,2013,2018-04-14 16:13:00.000,2018-04-14 20:13:00.000,0145,2018-04-14 20:45:00.000,2018-04-15 01:45:00.000,2018-04-14,2018-04-14,2018-04-14,2018-04-14,A319,,,,,,,,2018-04-09,2024-11-05
ZH,9798,TSN,2,TSN,CN,JJN,,JJN,CN,1035,1320,,J,151,8,0,143,00245,0,,,32S,320,18,FPAOGYBRMU,,TSNJJN,992,,,,O,010,,L,,,151,2018-04-25 00:00:00.000,,,ZBTJ,ZSQZ,0235,2018-04-25 10:35:00.000,2018-04-25 02:35:00.000,0520,2018-04-25 13:20:00.000,2018-04-25 05:20:00.000,2018-04-25,2018-04-25,2018-04-25,2018-04-25,A320,,,,,,,,2018-04-23,2024-11-05
